Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Cosmopolis,2012,R,25 May 2012,109 min,"Crime, Drama, Mystery",David Cronenberg,"David Cronenberg, Don DeLillo","Robert Pattinson, Juliette Binoche, Sarah Gadon","On the spur of the moment, twenty-eight year old Manhattan self-made multi-billionaire Eric Packer decides he wants to get a haircut from his regular and longtime barber across town, a difficult journey today if only because of the traffic gridlock from three high profile but vastly different events taking place in the borough, including a wandering anarchist protest, they who largely use dead rats as their symbol of protest. Through his trek, Eric, most taking place in his stretch limousine, meets with several business associates - some with as esoteric job titles as Head of Theory - and personal acquaintances, including his several week bride, Elise, a wealthy woman in her own right with who he still has a somewhat distant relationship if only because they don't really know each other. The start of Eric's day ends much differently than the end as his personal fortune largely hinges on external forces in relation to a speculative currency transaction, and as he learns that someone is trying to kill him, who and for what reason he does not know.",English,"Canada, France, Portugal, Italy",3 wins & 14 nominations total,https://m.media-amazon.com/images/M/MV5BMTY1NjI0MDYyNV5BMl5BanBnXkFtZTcwNDIzMDEyOA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '58/100'}]",58,5.1,"51,690",tt1480656,movie,N/A,"$763,556",N/A,N/A,True,BLU- RAY.pdf,
Clifford,1994,PG,01 Apr 1994,90 min,Comedy,Paul Flaherty,"William Porter, Steven Kampmann","Martin Short, Charles Grodin, Mary Steenburgen","In this dark comedy, a mischievous ten-year-old boy named Clifford is sent to his Uncle Martin's for the weekend to get out of his father's hair. It turns out he has a dying obsession to go to Dinosaur World, a theme park near Martin's house and nothing will get in his way to get there.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzFhYzc2MWMtNzAyNy00Y2YyLTgzMzEtNzE0ZjJjMGVjZDFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,5.5,"9,146",tt0109447,movie,N/A,"$7,408,745",N/A,N/A,True,BLU- RAY.pdf,
Crimen en familia,1985,N/A,14 Feb 1985,94 min,Thriller,Santiago San Miguel,"Gonzalo Goicoechea, Santiago San Miguel, Perla Vonasek","Charo López, Agustín González, Cristina Marsillach",A wife and her kids plan the killing of the abusive husband and father. Based on a real crime.,Spanish,Spain,1 nomination,https://m.media-amazon.com/images/M/MV5BZmU1MGQ3YWQtZWZhMi00NzM2LWExYzgtY2RjMzBlYmVhMWRlXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,73,tt0088966,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Dallas Buyers Club,2013,R,22 Nov 2013,117 min,"Biography, Drama",Jean-Marc Vallée,"Craig Borten, Melisa Wallack","Matthew McConaughey, Jennifer Garner, Jared Leto","Dallas 1985. Electrician and sometimes rodeo bull rider Ron Woodroof lives hard, which includes heavy smoking, drinking, drug use (primarily cocaine) and casual sex. He is racist and homophobic. While in the hospital on a work related injury, the doctors discover and inform him that he is HIV+, and that he will most-likely die within thirty days. Ron is initially in angry denial that he would have a disease that only ""faggots"" have, but upon quick reflection comes to the realization that the diagnosis is probably true. He begins to read whatever research is available about the disease, which at this time seems to be most effectively treated by the drug AZT. AZT, however, is only in the clinical trials stage within the US. Incredulous that he, as a dying man, cannot pay for any drug which may save or at least prolong his life, he goes searching for it by whatever means possible. It eventually leads him to Mexico and a ""Dr."" Vass, an American physician whose license was revoked in the US because of his AIDS related work against US regulations. Dr. Vass leads Ron to a cocktail of other drugs, some vitamins, he believes are more effective in treating the symptoms, since the virus, as Ron learns, will always be in the system of those who have been exposed to it. Ron begins to smuggle these drugs not approved by the FDA into the US, not only for his own use but for sale to other HIV+ persons. In this venture, he goes into an unlikely partnership with a HIV+ transgender woman named Rayon, who he met in the hospital and who has greater contact with AIDS patients through the gay community. As they try to work both above ground to get the meds to those that need them and underground to avoid detection by especially the FDA, Ron comes up with an idea to circumvent the fact of selling the drugs - which are not considered drugs yet since they are not FDA approved - directly to the HIV+ population, which then should should not be against the law. Richard Barkley and Dr. Sevard, the FDA's lead man on the file and one of Ron's doctors respectively, the latter who sees clinical trials as the only way to determine the efficacy of drugs despite the fact that Ron and others would have probably died already without these drugs, try to stop Ron and Rayon at every turn. Caught in the middle is Dr. Eve Saks, another of Ron's doctors, who understands why policies are in place, but who can sympathize with Ron, Rayon and others - all her patients, directly or indirectly - in their situation.","English, Japanese",United States,Won 3 Oscars. 85 wins & 88 nominations total,https://m.media-amazon.com/images/M/MV5BMTYwMTA4MzgyNF5BMl5BanBnXkFtZTgwMjEyMjE0MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.9,"545,550",tt0790636,movie,N/A,"$27,298,285",N/A,N/A,True,BLU- RAY.pdf,
Danton,1983,PG,12 Jan 1983,136 min,"Biography, Drama, History",Andrzej Wajda,"Jean-Claude Carrière, Stanislawa Przybyszewska, Andrzej Wajda","Gérard Depardieu, Wojciech Pszoniak, Anne Alvaro","Action opens in November of 1793, with Danton returning to Paris from his country retreat upon learning that the Committee for Public Safety, under Robespierre's incitement, has begun a series of massive executions, The Terror. Confident in the people's support, Danton clashes with his former ally, but calculating Robespierre soon rounds up Danton and his followers, tries them before a revolutionary tribunal and dipatches them to the guillotine.",French,"France, Poland",Won 1 BAFTA Award7 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZDA3ZDBhZGMtYTkzNS00ODBhLWJkOGYtNWM1ZjI1ZTg3MDdlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}]",N/A,7.4,"8,261",tt0083789,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
El Dilema,2019,N/A,03 Oct 2019,7 min,"Short, Drama",David González,David González,"Ramón Gómez, Xesco Vives",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BMzQ1MGM4MjgtNTMxMi00NjY5LWJmYzEtZWU4NTc2NDQ5NGNjXkEyXkFqcGdeQXVyNDMxODA1Mzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt12290800,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Aviones,2022,N/A,16 Oct 2022,6 min,Short,Amaia Yoldi,Amaia Yoldi,"Lupe Cartié Roda, Estrella Gamboa, Jorge Llorente",N/A,Spanish,Spain,10 nominations total,https://m.media-amazon.com/images/M/MV5BYzMzNDIwZGMtNWMwNi00ZTg3LWE4NTktNDU5NGQ1MDZmMDYxXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt22308866,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Asciende,2023,N/A,06 Mar 2023,N/A,"Short, Comedy",N/A,N/A,Iván Marín,N/A,English,Spain,N/A,https://m.media-amazon.com/images/M/MV5BNzM1OGRjZWEtMmU5Yy00OGUwLTk2ZDktZGE0ODgwMjVkN2I3XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt27040790,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Engaño,2006–,N/A,10 Feb 2006,90 min,Game-Show,N/A,N/A,Jordi González,N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0779820,series,,,,,True,BLU- RAY.pdf,N/A
Estado de Gracia,2009–,N/A,01 Aug 2012,N/A,Drama,N/A,N/A,"Alejandro Belmonte, Keyla Wood, Veronica Falcón",N/A,Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BYTNhYWUzNTAtZmFjOS00MzE0LTk3NjAtODExOTdiODY4N2VlXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,9,tt2323614,series,,,,,True,BLU- RAY.pdf,N/A
Godzilla vs Kong Claymation movie,2019,N/A,06 Nov 2019,N/A,Short,Scarlet Godzilla,Scarlet Godzilla,Godzilla,A stop motion claymation of Godzilla Against Kong.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGEwNzY1NTgtNjA2OS00YTU5LTg0ZWQtZjcwMjUwOWM1MmViXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,25,tt11289818,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Guadalcanal,1943,N/A,N/A,10 min,"Animation, Short",Ray Harryhausen,N/A,N/A,A stop-motion animated account of the 1942 Battle of Guadalcanal in World War II.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMWZkY2NhZWYtYWVkYy00OGJkLWE4YjgtNjAyYmUzYmY3MDJlXkEyXkFqcGdeQXVyNTMyODM3MTg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,39,tt2137546,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
"Chiapas: La guerra y la paz, 1994-2004",2004,N/A,04 Oct 2004,43 min,"Documentary, Short",Jaime Tello C.,"Javier Bañuelos, Elid Pineda, Edgar Rojano",N/A,"This program is a recounting of the struggles of the indigenous people of Chiapas, from their origins to the current day. The documentary provides a revisionist take on the neo-Zapatista uprising from its appearance in 1994 until ...",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BZGE3YTIwNWEtNzg4NC00YzljLWJiNjktYjY4NWRmYmMyZDBkXkEyXkFqcGdeQXVyNzk3MjM1NDA@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0441146,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
House of 1000 Corpses,2003,R,11 Apr 2003,89 min,Horror,Rob Zombie,Rob Zombie,"Sid Haig, Karen Black, Bill Moseley","On the eve of Halloween, on October 1977, four friends--Bill, Jerry, Mary, and Denise--embark on an exciting cross-country road trip to write a guidebook about offbeat roadside attractions in America's less-travelled roads. Before long, the young explorers chance upon Captain Spaulding's Museum of Monsters and Madmen, only to become infatuated with the local legend of a deranged serial-killer doctor, and cross paths with the mysterious hitchhiker, Baby. However, when the unsuspecting group meets Baby's eccentric family after having a flat tyre, an endless night of terror, torture, and murder ensues. Has anyone ever got out alive from the House of Thousand Corpses?",English,United States,4 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BNjUyNjU0NDE0OV5BMl5BanBnXkFtZTYwNzcwMzg3._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,6.0,"98,838",tt0251736,movie,N/A,"$12,634,962",N/A,N/A,True,BLU- RAY.pdf,
Inframundo,2013,N/A,06 Sep 2013,10 min,"Short, Drama",Ana Mary Ramos,"Juan Barreda, Ana Mary Ramos","Ivan Cortes, Tenoch Huerta",The tranquility of a landscape accompanies a man who has converted to impiety and death in the midst of life.,Spanish,Mexico,2 nominations,https://m.media-amazon.com/images/M/MV5BNDA0NjUwZDItYzE1ZC00N2ZiLWJkMWYtMGUzNGFmNmYwZjZhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,8,tt3198176,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Hotel Transylvania,2012,PG,28 Sep 2012,91 min,"Animation, Comedy, Family",Genndy Tartakovsky,"Peter Baynham, Robert Smigel, Todd Durham","Adam Sandler, Kevin James, Andy Samberg","In 1895, Dracula builds a resort in Transylvania, hidden from the humans, to raise his beloved daughter Mavis in a safe environment. In the present, the place is the Hotel Transylvania, where monsters bring their families to vacation far from the frightening humans. Dracula invites his friends - Frankenstein and his wife Eunice; Wayne and Wanda, the werewolves; Griffin, the invisible man; Murray, the mummy; Bigfoot, among others - to celebrate the 118th birthday of Mavis. When the party is ready to start, the 21-year-old Jonathan is walking through the forest and stumbles upon the hotel. Dracula sees Jonathan and disguises him as a monster to hide Jonathan from the guests. But Mavis also sees Jonathan and Dracula forces him to pose as a monster. Soon Mavis believes that Jonathan is the ""zing"" of her life despite the advice of her father about humans.",English,"United States, Canada",2 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.0,"309,621",tt0837562,movie,N/A,"$148,426,305",N/A,N/A,True,BLU- RAY.pdf,
Jurassic Park,1993,PG-13,11 Jun 1993,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Michael Crichton, David Koepp","Sam Neill, Laura Dern, Jeff Goldblum","Huge advancements in scientific technology have enabled a mogul to create an island full of living dinosaurs. John Hammond has invited four individuals, along with his two grandchildren, to join him at Jurassic Park. But will everything go according to plan? A park employee attempts to steal dinosaur embryos, critical security systems are shut down and it now becomes a race for survival with dinosaurs roaming freely over the island.","English, Spanish",United States,Won 3 Oscars. 44 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '68/100'}]",68,8.2,"1,167,043",tt0107290,movie,N/A,"$407,185,075",N/A,N/A,True,BLU- RAY.pdf,
Love the Coopers,2015,PG-13,13 Nov 2015,107 min,"Comedy, Fantasy, Romance",Jessie Nelson,Steven Rogers,"Steve Martin, Diane Keaton, John Goodman","When four generations of the Cooper clan come together for their annual Christmas Eve celebration, a series of unexpected visitors and unlikely events turn the night upside down, leading them all toward a surprising rediscovery of family bonds and the spirit of the holiday.",English,United States,2 nominations total,https://m.media-amazon.com/images/M/MV5BMjE4NTkyODk4NF5BMl5BanBnXkFtZTgwNjY0NzkxNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.8,"28,112",tt2279339,movie,N/A,"$26,302,731",N/A,N/A,True,BLU- RAY.pdf,
Melancolia,2006,N/A,N/A,N/A,Short,Ange Leccia,Ange Leccia,N/A,N/A,None,France,N/A,N/A,[],N/A,N/A,N/A,tt10111112,movie,N/A,N/A,N/A,N/A,True,BLU- RAY.pdf,
Monsters University,2013,G,21 Jun 2013,104 min,"Animation, Adventure, Comedy",Dan Scanlon,"Dan Scanlon, Daniel Gerson, Robert L. Baird","Billy Crystal, John Goodman, Steve Buscemi","Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) are an inseparable pair, but that wasn't always the case. From the moment these two mismatched monsters met, they couldn't stand each other. This movie unlocks the door to how Mike and Sully overcame their differences and became the best of friends.",English,United States,Nominated for 2 BAFTA 9 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,7.2,"421,121",tt1453405,movie,N/A,"$268,492,764",N/A,N/A,True,BLU- RAY.pdf,
InfoMania,2007–,N/A,10 Jul 2007,N/A,"Comedy, News",N/A,N/A,"Conor Knighton, Sergio Cilli, Brett Erlich","A weekly half-hour of comedy and common sense that sorts through the 24-hour, multi-screen media chaos in search of the ridiculous, the funny, and the ridiculously funny.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGQyYTZlNTctZmY3ZS00OTAyLTgxM2ItZmNiMDA3MDhjYjM1XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,160,tt1087821,series,,,,,True,BLU- RAY.pdf,3
Akemarropa (I Temporada),2009–2010,N/A,01 Apr 2009,N/A,Action,N/A,N/A,"Marian Aguilera, Gabri Arron, Mónica Cervera, Antonio Dechent",N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt5643720,series,,,,,True,BLU- RAY.pdf,N/A
