Original Failed Title,Likely Corrected Title
"""Batman el caballero de la noche regresa, parte 2""","Batman: The Dark Knight Returns, Part 2"
Cero cero siete [i.e.007] el mañana nunca...,Tomorrow Never Dies
La dictadura perfecta,The Perfect Dictatorship
Dragon Ball Z : cooler’s revenge :the return of...,Dragon Ball Z: Cooler's Revenge
Furia de titanes,Clash of the Titans
La guerra y la paz : War & peace,War and Peace
Harry Potter y las reliquias de la muerte,Harry Potter and the Deathly Hallows
Betty Boop La colección,The Betty Boop Collection
Dragon Ball Z : la batalla de los dioses,Dragon Ball Z: Battle of Gods
Transformers el lado oscuro de la luna,Transformers: Dark of the Moon
Tron el legado,Tron: Legacy
Orange is the new black - Mi vida en prisión:,Orange Is the New Black (TV Series)
"""Furia de Titanes, 2""",Wrath of the Titans
