Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
Bitter Moon,1992,R,18 Mar 1994,139 min,"Drama, Romance, Thriller",Roman Polanski,"Pascal Bruckner, Roman Polanski, Gérard Brach","Hugh Grant, Kristin Scott Thomas, Emmanuelle Seigner","British couple Fiona (Dame Kristin Scott Thomas) and Nigel (Hugh Grant) are sailing to Istanbul en route to India. They encounter a beautiful French woman, and that night, Nigel meets her while dancing alone in the ship's bar. Later, he meets her crippled American husband Oscar (Peter Coyote), who tells him their story. While living in Paris for several years trying to be a writer, he becomes obsessed with a woman he met by chance on a bus. He tracks her down and they start a steamy love affair. Soon, Oscar finds himself enslaved body and soul by her love, and continues to tell Nigel the details of this relationship in various stages over several visits to Oscar's cabin.","English, French","United Kingdom, France",1 win & 2 nominations total,https://m.media-amazon.com/images/M/MV5BMDEwOWE1ZGItYTg4Ny00MTlmLTgwZDEtMTRlY2QyODkzNTk4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,7.2,"44,723",tt0104779,movie,N/A,"$1,862,805",N/A,N/A,True,Luna amarga,
Drunken Angel,1948,Not Rated,30 Dec 1959,102 min,"Crime, Drama, Romance",Akira Kurosawa,"Keinosuke Uekusa, Akira Kurosawa","Takashi Shimura, Toshirô Mifune, Reizaburô Yamamoto","After a battle with rival criminals, a small-time gangster is treated by an alcoholic doctor in post-war Japan. The doctor diagnoses the young gangster's tuberculosis, and convinces him to begin treatment for it. The two enjoy an uneasy friendship until the gangster's former boss is released from prison and seeks to take over his gang once again. The ailing young man loses his status as gang boss and becomes ostracised, and eventually confronts his former boss in a battle to the death.",Japanese,Japan,4 wins total,https://m.media-amazon.com/images/M/MV5BODI1MDE2MGUtNzIwNi00ZWZiLTgzYWItNTcwNjYxNGJkYzc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}]",N/A,7.6,"14,107",tt0040979,movie,N/A,"$46,808",N/A,N/A,True,"""ángel borracho, El""",
The Danish Girl,2015,R,22 Jan 2016,119 min,"Biography, Drama",Tom Hooper,"Lucinda Coxon, David Ebershoff","Eddie Redmayne, Alicia Vikander, Amber Heard","Copenhagen, Denmark, 1926. Einar Wegener (played by Eddie Redmayne) and his wife Gerda (Alicia Vikander) are a happily married couple. Both are artists, Einar preferring landscapes and she portraits. One day Einar poses for a portrait of Gerda's while wearing a dress. This is initially done as a lark, as is the later attendance at a party dressed as a woman. However, Einar soon discovers that she is in fact a woman and over time prefers being Lili. At first she and Gerda try to have her situation ""cured"" but this leads nowhere (other than to many doctors trying to have Lili locked up as a pervert and/or lunatic). Her voyage of self-discovery will ultimately lead to her undergoing the first ever sex-change operation.","English, French, German, Ukrainian","United Kingdom, United States, Germany, Denmark, Belgium, Japan",Won 1 Oscar. 32 wins & 82 nominations total,https://m.media-amazon.com/images/M/MV5BMjA0NjA4NjE2Nl5BMl5BanBnXkFtZTgwNzIxNTY2NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.1,"204,119",tt0810819,movie,N/A,"$11,114,018",N/A,N/A,True,La chica danesa,
The Blue Room,2014,R,17 May 2014,76 min,"Crime, Drama, Mystery",Mathieu Amalric,"Stéphanie Cléau, Mathieu Amalric, Georges Simenon","Mathieu Amalric, Léa Drucker, Stéphanie Cléau","A man and a woman, secretly in love, alone in a room. They desire each other, want each other, and even bite each other. In the afterglow, they share a few sweet nothings. At least the man seemed to believe they were nothing. Now under investigation by the police and the courts, what is he accused of?",French,France,1 win & 5 nominations total,https://m.media-amazon.com/images/M/MV5BNmExNTI0YmYtZTVkNy00NjA2LTk1NWYtMThmMzIxOWY1NmMwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '73/100'}]",73,6.3,"3,812",tt3230082,movie,N/A,"$254,666",N/A,N/A,True,"""habitación azul, La""",
Bad Education,2004,R,11 Feb 2005,106 min,"Crime, Drama",Pedro Almodóvar,Pedro Almodóvar,"Gael García Bernal, Fele Martínez, Javier Cámara","In the early 60s, two boys - Ignacio and Enrique - discover love, movies and fear in a Christian school. Father Manolo, the school principal and Literature teacher, both witnesses and takes part in these discoveries. The three characters come against one another twice again, in the late 70s and in 1980. These meetings are set to change the life and death of some of them.","Spanish, Latin","Spain, Belgium",Nominated for 1 BAFTA Award16 wins & 42 nominations total,https://m.media-amazon.com/images/M/MV5BODM1NmQ2YmQtM2RkMC00ZTYyLTgwMDktODUzYjFlMzBkYTYzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,7.4,"64,993",tt0275491,movie,N/A,"$5,284,284",N/A,N/A,True,mala educación,
Brokeback Mountain,2005,R,13 Jan 2006,134 min,"Drama, Romance",Ang Lee,"Annie Proulx, Larry McMurtry, Diana Ossana","Jake Gyllenhaal, Heath Ledger, Michelle Williams","Their acquaintance began on the warm summer of 1963, when cowboys, Ennis Del Mar and Jack Twist, ended up on the sheep farm of Joe Aguirre in Brokeback Mountain, Wyoming while looking for work. Under unexpected circumstances, little by little, the two men developed an intimate relationship that turned into a profound but secret bond, right under the nose of their families. However, love, and its many faces, is eternal. Who can stop love, life's ultimate truth?","English, Spanish","Canada, United States",Won 3 Oscars. 141 wins & 133 nominations total,https://m.media-amazon.com/images/M/MV5BMzM4OWFjMTMtZjNjOS00YmU3LTlhY2MtNjFiMTVkN2Y1OTZlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '88%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,7.7,"414,080",tt0388795,movie,N/A,"$84,111,816",N/A,N/A,True,"""Secreto en la montaña, El""",
The Story of O,1975,NC-17,14 Nov 1975,97 min,Drama,Just Jaeckin,"Sébastien Japrisot, Dominique Aury","Corinne Cléry, Udo Kier, Anthony Steel","The beautiful O is taken by her boyfriend, Rene, to a bizarre retreat, where she is trained in bondage and sexual perversion. Rene discharges a personal debt by transferring possession of O to his step-brother, Sir Stephen...","French, English, Polish","France, West Germany, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMjVlMTQ0ODctYWVkYi00YzU3LWEwOWEtN2FiYWQ2NzUwYzI4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}]",N/A,5.3,"7,351",tt0073115,movie,N/A,N/A,N/A,N/A,True,"""historia de Richard O, La""",
Boys Don't Cry,1999,R,31 Mar 2000,118 min,"Biography, Crime, Drama",Kimberly Peirce,"Kimberly Peirce, Andy Bienen","Hilary Swank, Chloë Sevigny, Peter Sarsgaard","Based on actual events. Brandon Teena is the popular new guy in a tiny Nebraska town. He hangs out with the guys, drinking, cussing, and bumper surfing, and he charms the young women, who've never met a more sensitive and considerate young man. Life is good for Brandon, now that he's one of the guys and dating hometown beauty Lana; however, he's forgotten to mention one important detail. It's not that he's wanted in another town for GTA and other assorted crimes, but that Brandon Teena was actually born a woman named Teena Brandon. When his best friends make this discovery, Brandon's life is ripped apart.",English,United States,Won 1 Oscar. 50 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BYTMwYWZkOWQtMDY4My00MzE5LThkODAtN2Q2Y2FmNzY3ZmE2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '86/100'}]",86,7.5,"107,093",tt0171804,movie,N/A,"$11,540,607",N/A,N/A,True,muchachos no lloran,
Batman: Assault on Arkham,2014,PG-13,29 Jul 2014,76 min,"Animation, Action, Adventure, Crime, Sci-Fi, Thriller","Jay Oliva, Ethan Spaulding","Heath Corson, Bob Kane (Batman created by), Lew Schwartz (Deadshot co-created by), John Ostrander (Amanda Waller created by), John Byrne (Amanda Waller created by), Paul Dini (Harley Quinn created by), Bruce Timm (Harley Quinn created by)","Kevin Conroy, Neal McDonough, Hynden Walch, Matthew Gray Gubler","In Gotham City, the Riddler has secret information on the top secret Task Force X that he threatens to make public, but before Amanda Waller can have him killed, he is captured by Batman. Now with Riddler imprisoned in Arkham Asylum, Amanda Waller reassembles the Suicide Squad of captured supervillains with the mission to infiltrate the forensic mental hospital to retrieve Riddler's information. Led by Deadshot, this black ops team makes their way into the facility, only to face complications from within and without the team with secret agendas and double crosses all around. Meanwhile, Batman has his own concerns with an urgent search for The Joker's deadly bomb that threatens Gotham City. Eventually, all these players converge on Arkham Asylum for a showdown that few are going to escape alive.",English,USA,3 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZDU1ZGRiY2YtYmZjMi00ZDQwLWJjMWMtNzUwNDMwYjQ4ZTVhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '78%'}]",N/A,7.5,"31,970",tt3139086,movie,N/A,N/A,N/A,N/A,True,Batman :ataque arkaham,
Batman: Under the Red Hood,2010,PG-13,27 Jul 2010,75 min,"Animation, Action, Crime, Drama, Mystery, Sci-Fi, Thriller",Brandon Vietti,"Judd Winick, Bob Kane (Batman created by)","Bruce Greenwood, Jensen Ackles, John DiMaggio, Neil Patrick Harris","Batman faces his ultimate challenge as the mysterious Red Hood takes Gotham City by firestorm. One part vigilante, one part criminal kingpin, Red Hood begins cleaning up Gotham with the efficiency of Batman, but without following the same ethical code. Killing is an option. And when the Joker falls in the balance between the two, hard truths are revealed and old wounds are reopened.",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BNmY4ZDZjY2UtOWFiYy00MjhjLThmMjctOTQ2NjYxZGRjYmNlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,8.1,"56,401",tt1569923,movie,N/A,N/A,N/A,N/A,True,Batman el misterio de la capucha roja,
Bleach: Memories of Nobody,2006,TV-14,16 Dec 2006,87 min,"Animation, Action, Adventure",Noriyuki Abe,"Masashi Sogo, Tite Kubo","Masakazu Morita, Fumiko Orikasa, Hiroki Yasumoto","In Karakura Town, unidentifiable spirits begin appearing en mases. While attempting to deal with these strange souls, Ichigo Kurosaki and Rukia Kuchiki meet Senna, a mysterious shinigami who wipes out most of them. Senna refuses to answer any questions, so Ichigo is forced to follow her while Rukia tries to find out what's going on.",Japanese,Japan,N/A,https://m.media-amazon.com/images/M/MV5BNTI3MzA0NzM0NF5BMl5BanBnXkFtZTcwODY4MjY5MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"5,420",tt1105263,movie,N/A,N/A,N/A,N/A,True,"""Bleach double feature, Memories of""",
Batman: Year One,2011,PG-13,18 Oct 2011,64 min,"Animation, Action, Crime, Drama, Thriller","Sam Liu, Lauren Montgomery","Bob Kane (Batman created by), Tab Murphy, Frank Miller (graphic novel), David Mazzucchelli (graphic novel), Richmond Lewis (graphic novel)","Bryan Cranston, Ben McKenzie, Eliza Dushku, Jon Polito","Two men come to Gotham City: Bruce Wayne after years abroad feeding his lifelong obsession for justice and Jim Gordon after being too honest a cop with the wrong people elsewhere. After learning painful lessons about the city's corruption on its streets and police department respectively, this pair learn how to fight back their own way. With that, Gotham's evildoers from top to bottom are terrorized by the mysterious Batman and the equally heroic Gordon is assigned to catch him by comrades who both hate and fear him themselves. In the ensuing manhunt, both find much in common as the seeds of an unexpected friendship are laid with additional friends and rivals helping to start the legend.","English, French, Spanish",USA,1 win.,https://m.media-amazon.com/images/M/MV5BNTJjMmVkZjctNjNjMS00ZmI2LTlmYWEtOWNiYmQxYjY0YWVhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}]",N/A,7.4,"32,117",tt1672723,movie,N/A,N/A,N/A,N/A,True,Batman año uno,
Lupin III: The Castle of Cagliostro,1979,PG-13,15 Dec 1979,102 min,"Animation, Adventure, Comedy",Hayao Miyazaki,"Monkey Punch, Maurice Leblanc, Hayao Miyazaki","Yasuo Yamada, Eiko Masuyama, Kiyoshi Kobayashi","After successfully robbing the Monte Carlo Casino, Lupin The Third and Jigen Daisuke soon learn that their money is in fact counterfeit and they go after the man responsible: Count Lazare de Cagliostro. The two soon find out that the Count is behind something far worse than counterfeiting money for casinos: he has been keeping a family secret hidden deep in his castle. Can Lupin find out what this is and live to tell the tale? With the help of Jigen and the wise samurai Goemon Ishikawa XIII, Lupin is hell-bent on finding out the Cagliostro family's secret fortune and make it his own.","Japanese, English, French",Japan,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BYjQwZWNkMTYtYTU2Ny00YzgyLTljYTMtNjc0MjRkNWY5NDM4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,7.6,"35,395",tt0079833,movie,N/A,"$142,425",N/A,N/A,True,El castillo de Cagliostro,
Castle in the Sky,1986,PG,19 Jul 1991,124 min,"Animation, Adventure, Family",Hayao Miyazaki,"Hayao Miyazaki, Jonathan Swift","Mayumi Tanaka, Keiko Yokozawa, Kotoe Hatsui","A young boy stumbles into a mysterious girl who floats down from the sky. The girl, Sheeta, was chased by pirates, army and government secret agents. In saving her life, they begin a high flying adventure that goes through all sorts of flying machines, eventually searching for Sheeta's identity in a floating castle of a lost civilization.",Japanese,Japan,1 win total,https://m.media-amazon.com/images/M/MV5BZjcyMjg2MzktNjg4YS00MjQzLTg0YWQtMjUyZDk2Y2Y0YzZjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '96%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,8.0,"196,825",tt0092067,movie,N/A,"$523,664",N/A,N/A,True,El castillo en el cielo,
Evangelion: 1.0 You Are (Not) Alone,2007,PG-13,01 Sep 2007,98 min,"Animation, Action, Drama","Hiroshi Haraguchi, Masayuki, Kazuya Tsurumaki",Hideaki Anno,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi",The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,"Japanese, German, Spanish, Catalan, English, French, Italian, Portuguese, Russian, Cantonese",Japan,3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDQwZWFmNTMtY2RjYS00OWIxLTlkNmMtNjQwMWIwZTk1OGFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.5,"30,946",tt0923811,movie,N/A,"$107,797",N/A,N/A,True,Evangelión : I. II,
Iron Man & Hulk: Heroes United,2013,PG,03 Dec 2013,71 min,"Animation, Action, Adventure, Family, Sci-Fi","Eric Radomski, Leo Riley","Henry Gilroy, Brandon Auman, Stan Lee (characters), Jack Kirby (characters), Larry Lieber (characters), Don Heck (characters)","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes","The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet! When two Hydra scientists try to supercharge a Stark Arc Reactor with Hulk's Gamma Energy, they unleash a being of pure electricity called Zzzax - and he's hungry for destruction. Together, Iron Man and Hulk are the only force that stands in the way of the Zzzax's planetary blackout. But first, the super heroic duo will have to get through snarling Wendigos, deadly robots and the scaly powerhouse, Abomination. Can two of Marvel's mightiest heroes find a way to work together without smashing each other before time runs out?",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDVlZjcxZWYtZWEzZS00NjY3LTlmZjItNzljZWM1ZTMwZmM5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"2,196",tt3221698,movie,N/A,N/A,N/A,N/A,True,Iron Man y Hulk,
