Original Failed Title,Likely Corrected Title
"Rutas del mundo: destinos soñados,","(Likely a documentary series, not a movie)"
"""Rutas del mundo: destinos soñados, India""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: destinos soñados, Polinesia""","(Likely a documentary series, not a movie)"
ORANGE IS THE NEW BLACK (PRIMERA,Orange Is the New Black (TV Series)
"""Rutas del mundo: destinos soñados, Tailandia""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: destinos soñados, Turquía""","(Likely a documentary series, not a movie)"
"""agua y la vida,El""",Oceans (Documentary)
"""Rutas del mundo: el gran viaje, El imperio de""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: destinos soñados, Vietnam""","(Likely a documentary series, not a movie)"
TRANSFORMES,Transformers
"""Rutas del mundo: el gran viaje, El hombre""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: destinos soñados, Japón""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Laberinto""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, El mundo de""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Los nómadas""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Orillas del mar""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Los herederos""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, El otro lado""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Los hombres""","(Likely a documentary series, not a movie)"
estela del Nilo,"(Likely a documentary series, not a movie)"
los navajos,"(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, La tierra de""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Los últimos""","(Likely a documentary series, not a movie)"
indígenas de Europa,"(Likely a documentary series, not a movie)"
entre las bestias,"(Likely a documentary series, not a movie)"
olvidados de África,"(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Los reinos""","(Likely a documentary series, not a movie)"
"""Rutas del mundo: el gran viaje, Siguiendo la""","(Likely a documentary series, not a movie)"
"""VENGADOR FANTASMA 2, EL""",Ghost Rider: Spirit of Vengeance
