Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle
Terminator 2: Judgment Day,1991,R,03 Jul 1991,137 min,"Action, Adventure, Sci-Fi",James Cameron,"James Cameron, William Wisher","Arnold Schwarzenegger, Linda Hamilton, Edward Furlong","Over 10 years have passed since the first machine called The Terminator tried to kill Sarah Connor and her unborn son, John. The man who will become the future leader of the human resistance against the Machines is now a healthy young boy. However, another Terminator, called the T-1000, is sent back through time by the supercomputer Skynet. This new Terminator is more advanced and more powerful than its predecessor and its mission is to kill John Connor when he's still a child. However, Sarah and John do not have to face the threat of the T-1000 alone. Another Terminator (identical to the same model that tried and failed to kill Sarah Connor in 1984) is also sent back through time to protect them. Now, the battle for tomorrow has begun.","English, Spanish","United States, France",Won 4 Oscars. 39 wins & 33 nominations total,https://m.media-amazon.com/images/M/MV5BNGMyMGNkMDUtMjc2Ni00NWFlLTgyODEtZTY2MzBiZTg0OWZiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,8.6,"1,276,343",tt0103064,movie,N/A,"$205,881,154",N/A,N/A,True,EL DÍA DEL JUICIO FINAL
The Neon Demon,2016,R,24 Jun 2016,117 min,"Horror, Thriller",Nicolas Winding Refn,"Nicolas Winding Refn, Mary Laws, Polly Stenham","Elle Fanning, Christina Hendricks, Keanu Reeves","The sixteen year-old aspiring model Jesse arrives in Los Angeles expecting to be a successful model. The aspirant photographer Dean takes photos for her portfolio and dates her. Jesse befriends the lesbian makeup artist Ruby and then the envious models Gigi and Sarah in a party. Meanwhile, the agency considers Jesse beautiful with a ""thing"" that makes her different and she is sent to the professional photographer Jack. Jesse attracts the attention of the industry and experiences a successful beginning of her career. Ruby, Gigi and Sarah, however, will do whatever is necessary to get this ""thing"" for themselves.",English,"Denmark, United States, Belgium",18 wins & 39 nominations total,https://m.media-amazon.com/images/M/MV5BNTAyOTkxNTQ3NV5BMl5BanBnXkFtZTgwMjQ1NzQxOTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"110,328",tt1974419,movie,N/A,"$1,333,124",N/A,N/A,True,"""Demonio Neón, El"""
12 Years a Slave,2013,R,08 Nov 2013,134 min,"Biography, Drama, History",Steve McQueen,"John Ridley, Solomon Northup","Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender","Based on an incredible true story of one man's fight for survival and freedom. In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty personified by a malevolent slave owner, as well as unexpected kindnesses, Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life.",English,"United Kingdom, United States",Won 3 Oscars. 244 wins & 338 nominations total,https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '95%'}, {'Source': 'Metacritic', 'Value': '96/100'}]",96,8.1,"782,160",tt2024544,movie,N/A,"$56,671,993",N/A,N/A,True,DOCE [I. E. 12] AÑOS ESCLAVO
The King's Speech,2010,R,25 Dec 2010,118 min,"Biography, Drama, History",Tom Hooper,David Seidler,"Colin Firth, Geoffrey Rush, Helena Bonham Carter","Britain's Prince Albert (Colin Firth) must ascend the throne as King George VI, but he has a speech impediment. Knowing that the country needs her husband to be able to communicate effectively, Elizabeth (Helena Bonham Carter) hires Lionel Logue (Geoffrey Rush), an Australian actor and speech therapist, to help him overcome his stammer. An extraordinary friendship develops between the two men, as Logue uses unconventional means to teach the monarch how to speak with confidence.",English,"United States, United Kingdom",Won 4 Oscars. 109 wins & 206 nominations total,https://m.media-amazon.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,8.0,"730,697",tt1504320,movie,N/A,"$138,797,449",N/A,N/A,True,EL DISCURSO DEL REY
Dragon Ball Z: Cooler's Revenge,1991,E10+,22 Jan 2002,47 min,"Animation, Action, Sci-Fi",Mitsuo Hashimoto,"Akira Toriyama, Takao Koyama","Masako Nozawa, Toshio Furukawa, Mayumi Tanaka","After destroying Frieza on Namek, Goku returns to a peaceful life on Earth. When informed his brother has been killed by a Saiyan, Cooler is hell bent on killing Goku, and making him pay for his brother's disgrace. Goku has to find the power within him to defeat a warrior even more powerful than the horrible Frieza.","Japanese, English",Japan,N/A,https://m.media-amazon.com/images/M/MV5BMTBlY2Q2OTgtNWEwYi00NTE3LWI1ZmYtY2Y0ZTRiZjdjMDBjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",N/A,7.0,"9,434",tt1125254,movie,N/A,N/A,N/A,N/A,True,DRAGON BALL: COOLERS REVENGE
It's Complicated,2009,R,25 Dec 2009,120 min,"Comedy, Drama, Romance",Nancy Meyers,Nancy Meyers,"Meryl Streep, Steve Martin, Alec Baldwin","When brought together at a family event, two exes find themselves oddly attracted to each other after ten years of divorce. Although the couple think that this affair will stay in a different state, it brings itself back to their own city and disrupts their personal lives. While the couple still maintain other romances, they cannot help but to continue with their affair.","English, French","Japan, United States",Nominated for 1 BAFTA Award8 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMjQ0NjM2NTI4N15BMl5BanBnXkFtZTcwNjQ2MDc5Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.6,"102,721",tt1230414,movie,N/A,"$112,735,375",N/A,N/A,True,ENAMORÁNDOME DE MI EX
Evangelion: 1.0 You Are (Not) Alone,2007,PG-13,01 Sep 2007,98 min,"Animation, Action, Drama","Hiroshi Haraguchi, Masayuki, Kazuya Tsurumaki",Hideaki Anno,"Megumi Ogata, Megumi Hayashibara, Kotono Mitsuishi",The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,"Japanese, German, Spanish, Catalan, English, French, Italian, Portuguese, Russian, Cantonese",Japan,3 wins & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMDQwZWFmNTMtY2RjYS00OWIxLTlkNmMtNjQwMWIwZTk1OGFlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '67%'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,7.5,"30,946",tt0923811,movie,N/A,"$107,797",N/A,N/A,True,EVANGELIÓN : I. II
Mary Shelley's Frankenstein: A Documentary,2009,N/A,N/A,57 min,"Documentary, Drama, History",Liam Dale,Barnaby Eaton-Jones,"Georgina Clarke, Jack Roberts",N/A,English,United Kingdom,N/A,N/A,[],N/A,N/A,N/A,tt37343970,movie,N/A,N/A,N/A,N/A,True,Frankenstein de Mary Shelley
Big Hero 6,2014,PG,07 Nov 2014,102 min,"Animation, Action, Adventure","Don Hall, Chris Williams","Jordan Roberts, Robert L. Baird, Daniel Gerson","Ryan Potter, Scott Adsit, Jamie Chung","When a devastating event befalls the city of San Fransokyo and catapults Hiro into the midst of danger, he turns to Baymax and his close friends adrenaline junkie Go Go Tomago, neatnik Wasabi, chemistry whiz Honey Lemon and fanboy Fred. Determined to uncover the mystery, Hiro transforms his friends into a band of high-tech heroes called ""Big Hero 6.""",English,United States,Won 1 Oscar. 17 wins & 58 nominations total,https://m.media-amazon.com/images/M/MV5BYjQ3YzUyOGQtNjdlYS00YmRhLWIyOWYtMGQ3YjkwMjJiYzRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.8,"548,572",tt2245084,movie,N/A,"$222,527,828",N/A,N/A,True,GRANDES HÉROES
Wrath of the Titans,2012,PG-13,30 Mar 2012,99 min,"Action, Adventure, Fantasy",Jonathan Liebesman,"Dan Mazeau, David Leslie Johnson-McGoldrick, Greg Berlanti","Sam Worthington, Liam Neeson, Rosamund Pike","A decade after his heroic defeat of the monstrous Kraken, Perseus-the demigod son of Zeus-is attempting to live a quieter life as a village fisherman and the sole parent to his 10-year old son, Helius. Meanwhile, a struggle for supremacy rages between the gods and the Titans. Dangerously weakened by humanity's lack of devotion, the gods are losing control of the imprisoned Titans and their ferocious leader, Kronos, father of the long-ruling brothers Zeus, Hades and Poseidon. The triumvirate had overthrown their powerful father long ago, leaving him to rot in the gloomy abyss of Tartarus, a dungeon that lies deep within the cavernous underworld. Perseus cannot ignore his true calling when Hades, along with Zeus' godly son, Ares (Edgar Ramírez), switch loyalty and make a deal with Kronos to capture Zeus. The Titans' strength grows stronger as Zeus' remaining godly powers are siphoned, and hell is unleashed on earth. Enlisting the help of the warrior Queen Andromeda (Rosamund Pike), Poseidon's demigod son, Argenor (Toby Kebbell), and fallen god Hephaestus (Bill Nighy), Perseus bravely embarks on a treacherous quest into the underworld to rescue Zeus, overthrow the Titans and save mankind.",English,"United States, Spain",2 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BMjMyMzk1Nzg3OF5BMl5BanBnXkFtZTcwOTQ2NjcxNw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '26%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,5.7,"201,440",tt1646987,movie,N/A,"$83,670,083",N/A,N/A,True,Furia de titanes 2 3D
Legend of the Guardians: The Owls of Ga'Hoole,2010,PG,24 Sep 2010,97 min,"Animation, Action, Adventure",Zack Snyder,"John Orloff, Emil Stern, Kathryn Lasky","Jim Sturgess, Hugo Weaving, David Wenham","Soren (Jim Sturgess), a young barn owl, is kidnapped by owls of St. Aggie's, ostensibly an orphanage, where owlets are brainwashed into becoming soldiers. He and his new friends escape to the island of Ga'Hoole, to assist its noble, wise owls who fight the army being created by the wicked rulers of St. Aggie's.",English,"United States, Australia, United Kingdom",4 wins & 23 nominations total,https://m.media-amazon.com/images/M/MV5BMjE0NjA5OTA4N15BMl5BanBnXkFtZTcwODA3MTA3Mw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '52%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.9,"91,248",tt1219342,movie,N/A,"$55,675,313",N/A,N/A,True,GA’HOOLE
Iron Man & Hulk: Heroes United,2013,PG,03 Dec 2013,71 min,"Animation, Action, Adventure, Family, Sci-Fi","Eric Radomski, Leo Riley","Henry Gilroy, Brandon Auman, Stan Lee (characters), Jack Kirby (characters), Larry Lieber (characters), Don Heck (characters)","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes","The Invincible Iron Man and the Incredible Hulk must join forces to save the Earth from its greatest threat yet! When two Hydra scientists try to supercharge a Stark Arc Reactor with Hulk's Gamma Energy, they unleash a being of pure electricity called Zzzax - and he's hungry for destruction. Together, Iron Man and Hulk are the only force that stands in the way of the Zzzax's planetary blackout. But first, the super heroic duo will have to get through snarling Wendigos, deadly robots and the scaly powerhouse, Abomination. Can two of Marvel's mightiest heroes find a way to work together without smashing each other before time runs out?",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMDVlZjcxZWYtZWEzZS00NjY3LTlmZjItNzljZWM1ZTMwZmM5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,"2,196",tt3221698,movie,N/A,N/A,N/A,N/A,True,IRON MAN Y HULK
Son of Batman,2014,PG-13,22 Apr 2014,74 min,"Animation, Action, Adventure",Ethan Spaulding,"Bob Kane, Grant Morrison, Andy Kubert","Jason O'Mara, Stuart Allan, Thomas Gibson","Batman learns he has a violent, unruly pre-teen son, secretly raised by the terrorist group the League of Assassins.",English,United States,1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BZTVhZGUxMmEtNDdlMi00MTA5LTgxNjctNGJmNDBmYTQ5YTIyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}]",N/A,6.7,"32,998",tt3139072,movie,N/A,N/A,N/A,N/A,True,"""HIJO DE BATMAN,EL"""
Blue Jasmine,2013,PG-13,23 Aug 2013,98 min,"Comedy, Drama, Romance",Woody Allen,Woody Allen,"Cate Blanchett, Joy Carlin, Richard Conti","Jasmine French used to be on the top of the heap as a New York socialite, but now is returning to her estranged sister in San Francisco utterly ruined. As Jasmine struggles with her haunting memories of a privileged past bearing dark realities she ignored, she tries to recover in her present. Unfortunately, it all proves a losing battle as Jasmine's narcissistic hangups and their consequences begin to overwhelm her. In doing so, her old pretensions and new deceits begin to foul up everyone's lives, especially her own.",English,United States,Won 1 Oscar. 56 wins & 83 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0ODk5MzEyMV5BMl5BanBnXkFtZTcwMzI0MDY1OQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '90%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.3,"218,419",tt2334873,movie,N/A,"$33,405,481",N/A,N/A,True,JAZMÍN AZUL
Edward Scissorhands,1990,PG-13,14 Dec 1990,105 min,"Drama, Fantasy, Romance",Tim Burton,"Tim Burton, Caroline Thompson","Johnny Depp, Winona Ryder, Dianne Wiest","In a castle high on top of a hill lives an inventor's greatest creation - Edward, a near-complete person. The creator died before he could finish Edward's hands; instead, he is left with metal scissors for hands. Since then, he has lived alone, until a kind lady called Peg discovers him and welcomes him into her home. At first, everyone welcomes him into the community, but soon things begin to take a change for the worse.",English,United States,Nominated for 1 Oscar. 11 wins & 25 nominations total,https://m.media-amazon.com/images/M/MV5BODJhODczYjUtYzdkMy00Yjc4LTllNWMtZTQ3MDZlYWZjYWEzXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,7.8,"562,377",tt0099487,movie,N/A,"$56,362,352",N/A,N/A,True,"""JOVEN MANOS DE TIJERAS, EL"""
Kiki's Delivery Service,1989,G,20 Dec 1990,103 min,"Animation, Family, Fantasy",Hayao Miyazaki,"Eiko Kadono, Hayao Miyazaki","Minami Takayama, Rei Sakuma, Mieko Nobusawa","This is the story of a young witch, named Kiki who is now 13 years old. But she is still a little green and plenty headstrong, but also resourceful, imaginative, and determined. With her trusty wisp of a talking cat named Jiji by her side she's ready to take on the world, or at least the quaintly European seaside village she's chosen as her new home.","Japanese, English",Japan,4 wins total,https://m.media-amazon.com/images/M/MV5BOTFhYWI1NGUtZWFhZS00MTdkLWIzZTItMDBhNWNiZDNlMjYyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Metacritic', 'Value': '85/100'}]",85,7.8,"185,670",tt0097814,movie,08 May 2007,"$1,004,057",N/A,N/A,True,Kiki entregas a domicilio
The Maze Runner,2014,PG-13,19 Sep 2014,113 min,"Action, Mystery, Sci-Fi",Wes Ball,"Noah Oppenheim, Grant Pierce Myers, T.S. Nowlin","Dylan O'Brien, Kaya Scodelario, Will Poulter","Awakening in an elevator, remembering nothing of his past, Thomas emerges into a world of about thirty teenage boys, all without past memories, who have learned to survive under their own set of rules in a completely enclosed environment, subsisting on their own agriculture and supplies. With a new boy arriving every thirty days, the group has been in ""The Glade"" for three years, trying to find a way to escape through the Maze that surrounds their living space (patrolled by cyborg monsters named 'Grievers'). They have begun to give up hope when a comatose girl arrives with a strange note, and their world begins to change with the boys dividing into two factions: those willing to risk their lives to escape and those wanting to hang onto what they've got and survive.",English,"United States, United Kingdom",4 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BMjUyNTA3MTAyM15BMl5BanBnXkFtZTgwOTEyMTkyMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '66%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,6.8,"557,043",tt1790864,movie,N/A,"$102,427,862",N/A,N/A,True,Laberinto del terror.El
