Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,OriginalTitle,totalSeasons
Finding Nemo,2003,G,30 May 2003,100 min,"Animation, Adventure, Comedy","Andrew Stanton, Lee Unkrich","Andrew Stanton, Bob Peterson, David Reynolds","Albert Brooks, Ellen DeGeneres, Alexander Gould","A clown fish named Marlin lives in the Great Barrier Reef and loses his son, Nemo, after he ventures into the open sea, despite his father's constant warnings about many of the ocean's dangers. Nemo is abducted by a boat and netted up and sent to a dentist's office in Sydney. While Marlin ventures off to try to retrieve Nemo, Marlin meets a fish named Dory, a blue tang suffering from short-term memory loss. The companions travel a great distance, encountering various dangerous sea creatures such as sharks, anglerfish and jellyfish, in order to rescue Nemo from the dentist's office, which is situated by Sydney Harbour. While the two are searching the ocean far and wide, Nemo and the other sea animals in the dentist's fish tank plot a way to return to the sea to live their lives free again.","English, Japanese, Russian","United States, Japan, Australia, Kazakhstan, Armenia",Won 1 Oscar. 49 wins & 63 nominations total,https://m.media-amazon.com/images/M/MV5BMTc5NjExNTA5OV5BMl5BanBnXkFtZTYwMTQ0ODY2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '99%'}, {'Source': 'Metacritic', 'Value': '90/100'}]",90,8.2,"1,196,544",tt0266543,movie,N/A,"$380,843,261",N/A,N/A,True,Buscando a Nemo,
The Witches,1990,PG,24 Aug 1990,91 min,"Adventure, Comedy, Family",Nicolas Roeg,"Roald Dahl, Allan Scott","Anjelica Huston, Mai Zetterling, Jasen Fisher","A recently orphaned young boy is taken to a seaside hotel in England by his grandmother, who is recuperating after an illness.. Also staying at their hotel is a group of witches who have gathered to prepare a plot to rid England of all children.",English,"United Kingdom, United States",Nominated for 1 BAFTA Award3 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMjI1MDg5NzAyMV5BMl5BanBnXkFtZTgwNzU5Mzk4NjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '94%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,6.8,"58,478",tt0100944,movie,N/A,"$10,360,553",N/A,N/A,True,"""Brujas, Las The witches""",
Daffy Duck and the Dinosaur,1939,Approved,22 Apr 1939,8 min,"Animation, Short, Adventure",Chuck Jones,Dave Monahan,"Mel Blanc, Jack Lescoulie","Go back billions of years to the dinosaur age with Caspar Caveman and his pet dino, Fido. Caspar spots Daffy in a lake and hunts him but Daffy just keeps outsmarting him.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNGM4OGJmZGItMjg1My00ZmY3LTgwZTItNjllMjBhY2M2YzViXkEyXkFqcGdeQXVyNTA4NzExMDg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"1,026",tt0031202,movie,N/A,N/A,N/A,N/A,True,Cartoon craze: Daffy Duck y el dinosaurio,
Corpse Bride,2005,PG,23 Sep 2005,77 min,"Animation, Comedy, Drama","Tim Burton, Mike Johnson","Tim Burton, Carlos Grangel, John August","Johnny Depp, Helena Bonham Carter, Emily Watson","Set back in the late 1800s in a Victorian village, a man and woman by the names of Victor Van Dort and Victoria Everglot are betrothed because the Everglots need the money or else they'll be living on the streets and the Van Dorts want to be high in society. But when things go wrong at the wedding rehearsal, Victor goes into the woods to practice his vows. Just as soon as he gets them right, he finds himself married to Emily, the corpse bride. While Victoria waits on the other side, there's a rich newcomer that may take Victor's place. So two brides, one groom, who will Victor pick?",English,"United States, United Kingdom",Nominated for 1 Oscar. 9 wins & 30 nominations total,https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,7.4,"324,184",tt0121164,movie,N/A,"$53,401,527",N/A,N/A,True,"""Cadáver de la novia, el""",
Sing and Dance with Barney,1999,TV-G,12 Jan 1999,55 min,Family,Steve Feldman,"Mark S. Bernthal, Sheryl Leach (developer), Kathy Parker (developer), Dennis DeShazer (developer)","Bob West, David Joyner, Julie Johnson, Jeff Ayers","Come celebrate with Barney(tm) as he plans a very special sing-along party and invites many of his friends, old and new! The group enjoys singing their all-time favorites while being transported to Tee-riffic places such as a farm, a campsite in the woods and a storybook land. This is a celebration no Barney fan will want to miss!","English, American Sign Language",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTUxMjUwNTUzOV5BMl5BanBnXkFtZTgwMTM5NjA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,23,tt2259296,movie,N/A,N/A,N/A,N/A,True,Canta y Baila con Barney,
Bratz the Video: Starrin' & Stylin',2004,G,03 Aug 2004,59 min,Animation,Nick Rijgersberg,"Carter Bryant (characters), Norah Lally, Meg Martin","Ogie Banks, Soleil Moon Frye, Olivia Hack, Tia Mowry-Hardrict","Cloe, Yasmin, Jade, and Sasha need to get an art project done that is about self-expression, but they need to find a way to get the project done and be able to go to the prom.",English,"USA, Canada",N/A,https://m.media-amazon.com/images/M/MV5BMjM1Mzc4NDIzOF5BMl5BanBnXkFtZTgwODk3MzA2MDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",N/A,5.0,178,tt1469259,movie,N/A,N/A,N/A,N/A,True,"""Bratz, video El""",
The Golden Compass,2007,PG-13,07 Dec 2007,113 min,"Adventure, Family, Fantasy",Chris Weitz,"Chris Weitz, Philip Pullman","Nicole Kidman, Daniel Craig, Dakota Blue Richards","It was no ordinary life for a young girl: living among scholars in the hallowed halls of Jordan College and tearing unsupervised through Oxford's motley streets on mad quests for adventure. But Lyra's greatest adventure would begin closer to home, the day she heard hushed talk of an extraordinary particle. Microscopic in size, the magical dust--discovered in the vast Arctic expanse of the North--was rumored to possess profound properties that could unite whole universes. But there were those who feared the particle and would stop at nothing to destroy it. Catapulted into the heart of a terrible struggle, Lyra was forced to seek aid from clans, 'gyptians, and formidable armored bears. And as she journeyed into unbelievable danger, she had not the faintest clue that she alone was destined to win, or to lose, this more-than-mortal battle...","English, Icelandic, Russian, French","United Kingdom, United States, Canada, France, Australia",Won 1 Oscar. 7 wins & 32 nominations total,https://m.media-amazon.com/images/M/MV5BMTM2NDkxMjQxMV5BMl5BanBnXkFtZTYwNTMxMDM4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.1,"199,671",tt0385752,movie,N/A,"$70,107,728",N/A,N/A,True,"""Brújula dorada, la""",
Charlie and the Chocolate Factory,2005,PG,15 Jul 2005,115 min,"Adventure, Comedy, Family",Tim Burton,"Roald Dahl, John August","Johnny Depp, Freddie Highmore, David Kelly","When Willy Wonka decides to let five children into his chocolate factory, he decides to release five golden tickets in five separate chocolate bars, causing complete mayhem. The tickets start to be found, with the fifth going to a very special boy, called Charlie Bucket. With his Grandpa, Charlie joins the rest of the children to experience the most amazing factory ever. But not everything goes to plan within the factory.",English,"United Kingdom, United States",Nominated for 1 Oscar. 15 wins & 52 nominations total,https://m.media-amazon.com/images/M/MV5BNjcxMjg1Njg2NF5BMl5BanBnXkFtZTcwMjQ4NzMzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '72/100'}]",72,6.7,"566,515",tt0367594,movie,N/A,"$206,459,076",N/A,N/A,True,Charlie y la fabrica de chocolate en sala,
Babe,1995,G,04 Aug 1995,91 min,"Comedy, Drama, Family",Chris Noonan,"Dick King-Smith, George Miller, Chris Noonan","James Cromwell, Magda Szubanski, Christine Cavanaugh","Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he can herd sheep too. But will the other farm animals, including Fly's jealous husband, Rex, accept a pig who doesn't conform to the farm's social hierarchy?",English,"Australia, United States, United Kingdom",Won 1 Oscar. 20 wins & 26 nominations total,https://m.media-amazon.com/images/M/MV5BODYxZWZiMTgtMjJhOC00OTE1LTk0MmQtMGFiOGY3ZTAwZGRjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",83,6.9,"141,471",tt0112431,movie,N/A,"$63,658,910",N/A,N/A,True,Babe: el puerquito valiente,
101 Dalmatians,1996,G,27 Nov 1996,103 min,"Adventure, Comedy, Crime",Stephen Herek,"Dodie Smith, John Hughes","Glenn Close, Jeff Daniels, Joely Richardson","After a wild chase in the bustling streets of London, struggling computer game author Roger (Jeff Daniels) and his male Dalmatian, Pongo - by a welcome twist of fate - are dragged into St. James Park and meet with charming fashion designer Anita (Joely Richardson) and her female Dalmatian, Perdita. Soon, one thing will lead to another, and before they know it, Roger and Anita will get married and the adorable Perdita, pregnant. However, their short-lived joy is disrupted when Anita's glamorous but horrible boss, Cruella DeVil (Glenn Close), dognaps the innocent puppies with the intention of making a luxurious coat with the dogs' fabulously spotted fur. Eventually, along with Perdita's fifteen puppies, Cruella will manage to bring the total to the staggering number of ninety-nine Dalmatians; nevertheless, are the cute little puppies as helpless as they look?","English, Spanish","United States, United Kingdom",Nominated for 1 BAFTA Award3 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BOTA5MjAzZWYtZmQxMC00NWE0LWJkNWMtMzczNjg3ZTM1ZGRiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '40%'}, {'Source': 'Metacritic', 'Value': '50/100'}]",50,5.8,"123,975",tt0115433,movie,N/A,"$136,189,294",N/A,N/A,True,Ciento un dalmatas,
The Powerpuff Girls Movie,2002,PG,03 Jul 2002,73 min,"Animation, Action, Adventure",Craig McCracken,"Charlie Bean, Lauren Faust, Craig McCracken","Cathy Cavadini, Tara Strong, Elizabeth Daily","In the city of Townsville, the frustrated Professor Utonium is gathering all the ingredients to make a perfect little girl (sugar, spice, and everything nice). But when his lab assitant, a monkey named Jojo, causes the accidental addition of Chemical X to the mix, the Professor ends up with not one but 3 perfect, powerful little girls. It soon becomes obvious that Blossom, Bubbles, and Buttercup are not normal girls, they have superpowers and have not yet learned to control. The girls are treated like outcasts because they have inadvertently wrecked Townsville in a superpowered game of tag. To win the hearts of the people of Townsville, the girls are tricked into making a deal with Jojo who plans to take over Townsville. As the girls foil this threat and defeat an army of superpowered monkeys, the Powerpuff Girls learn that with great power comes great responsibility.",English,"United States, South Korea",N/A,https://m.media-amazon.com/images/M/MV5BNjQ2OWU4ZDgtNjY4YS00OTZkLWIyN2UtZGM0MmI0MDljYjI2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '63%'}, {'Source': 'Metacritic', 'Value': '65/100'}]",65,6.5,"11,232",tt0289408,movie,N/A,"$11,412,414","Warner Brothers, Cartoon Network",N/A,True,"""Chicas superpoderosas, las: la película""",
Count Duckula,1988–1993,TV-Y,06 Feb 1988,22 min,"Animation, Comedy, Family",N/A,N/A,"Barry Clayton, Jack May, Brian Trueman","Count Duckula is an egotistical vegetarian vampire duck who lives in a castle that can travel anywhere he wants to go. He lives with his servants: Nanny, his large and stupid nanny who always has her arm in a sling, and Igor, his evil butler. While Nanny accidentally destroys furniture and Igor attempts to turn the broccoli chomping duck to the dark side, a vampire hunter lurks around with a wooden stake-in-a-gun and unattractive intentions. Although ""Duckula"" is a spin-off of ""Dangermouse"", the humor is of a completely different and original style.",English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BZjIyZTdiM2EtNDhlYy00ZjBkLWE3MjAtMTYwZWVkNzgzNGIxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}]",N/A,7.4,"4,482",tt0088500,series,,,,,True,"""Conde Patula, El""",4
Pixar Short Films Collection: Volume 1,2007,G,04 Oct 2007,55 min,"Animation, Comedy, Family, Fantasy, Sci-Fi","John Lasseter, Alvy Ray Smith, Roger Gould, Brad Bird, Ralph Eggleston, Bud Luckey",Ralph Eggleston,Larry the Cable Guy,"Pixar's unprecedented string of hit animated features was built on the short films in this collection. John Lasseter and Ed Catmull used these cartoons the way Walt Disney used the ""Silly Symphonies"" during the 1930s: as a training ground for artists and a way to explore the potential of a new medium. Although it's only 90 seconds long, ""Luxo, Jr."" (1986) ranks as the ""Steamboat Willie"" of computer animation: For the first time, audiences believed CG characters could think and feel. (It was also the first CG film to make audiences laugh.) The long-unseen films for Sesame Street are an unexpected bonus.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BM2Q4YjRkOTktYTQ1Mi00OWRiLWI4MTctMGM3YTI3OTc4ZmY5XkEyXkFqcGdeQXVyNjA0Mzc0MzI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}]",N/A,8.1,"1,151",tt4439852,movie,N/A,N/A,N/A,N/A,True,"""Cortos de Pixar, Los""",
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,PG,09 Dec 2005,143 min,"Adventure, Family, Fantasy",Andrew Adamson,"Ann Peacock, Andrew Adamson, Christopher Markus","Tilda Swinton, Georgie Henley, William Moseley","Four children from the same family have to leave their town because of the bombings of WWII. A woman and a professor take the children to their house. While playing a game of hide-and-seek, the youngest member of the family, Lucy, finds a wardrobe to hide in. She travels back and back into the wardrobe and finds a place named Narnia. After going in twice, the four children go in together for the last time. They battle wolves, meet talking animals, encounter an evil white witch and meet a magnificent lion named Aslan. Will this be the end of their journey to Narnia or will they stay?","English, German, Brazilian Sign ","United Kingdom, United States",Won 1 Oscar. 18 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.9,"450,246",tt0363771,movie,N/A,"$291,710,957",N/A,N/A,True,"""Crónicas de Narnia, las""",
The Spiderwick Chronicles,2008,PG,14 Feb 2008,96 min,"Action, Adventure, Drama",Mark Waters,"Karey Kirkpatrick, David Berenbaum, John Sayles","Freddie Highmore, Sarah Bolger, David Strathairn","Once upon a time, upon moving into the run-down Spiderwick Estate with their mother Helen (Mary-Louise Parker), twin brothers Jared (Freddie Highmore) and Simon Grace (Freddie Highmore), along with their sister Mallory (Sarah Bolger), find themselves pulled into an alternate world full of fairies and other creatures. Unable to explain the strange disappearances and accidents that seem to be happening on a daily basis, the family blames it all on Jared. When he, Simon, and Mallory investigate what's really going on, they uncover the fantastic truth of the Spiderwick estate and of the creatures that inhabit it.",English,United States,2 wins & 8 nominations total,https://m.media-amazon.com/images/M/MV5BOWRiMmUzZTctYWUxNy00ZjkyLWE4NTctMzFlMTFkYmI5NmFkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '62/100'}]",62,6.5,"108,428",tt0416236,movie,N/A,"$71,195,053",N/A,N/A,True,"""Crónicas de Spiderwick, las""",
Happily N'Ever After,2006,PG,05 Jan 2007,87 min,"Animation, Adventure, Comedy","Paul Bolger, Yvette Kaplan, Greg Tiernan","Robert Moreland, Doug Langdale, Andre Sikojev","Sigourney Weaver, Sarah Michelle Gellar, Patrick Warburton","As the story begins, an alliance of evil fairy tale-doers, led by Frieda, looks to take over Fairy Tale Land and take control of. But when Ella A.K.A. Cinderella realizes her own evil stepmother is out to ruin her storybook existence, she takes a dramatic turn and blossoms into the leader of the resistance effort.",English,"United States, Germany, Canada, United Kingdom, Australia, Japan",1 nomination total,https://m.media-amazon.com/images/M/MV5BNzA3MTA0Mjk1M15BMl5BanBnXkFtZTcwNTE0NTQ0MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '6%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,4.5,"11,451",tt0308353,movie,N/A,"$15,589,393",N/A,N/A,True,Cuentos que no son cuento,
Where the Wild Things Are,2009,PG,16 Oct 2009,101 min,"Adventure, Drama, Family",Spike Jonze,"Spike Jonze, Dave Eggers, Maurice Sendak","Max Records, Catherine O'Hara, Forest Whitaker","A young boy named Max has an active imagination, and he will throw fits if others don't go along with what he wants. Max - following an incident with Claire (his sister) and her friends, and following a tantrum which he throws as a result of his Mother paying more attention to her boyfriend than to him - runs away from home. Wearing his wolf costume at the time, Max not only runs away physically, but runs toward a world in his imagination. This world, an ocean away, is inhabited by large wild beasts, including one named Carol who is much like Max himself in temperament. Instead of eating Max like they normally would with creatures of his type, the wild things befriend Max after he proclaims himself a king who can magically solve all their problems.",English,"Germany, United States, Australia",7 wins & 54 nominations total,https://m.media-amazon.com/images/M/MV5BNzQ1NzAwODEwM15BMl5BanBnXkFtZTcwNTE4MjI4Mg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '73%'}, {'Source': 'Metacritic', 'Value': '71/100'}]",71,6.7,"111,109",tt0386117,movie,N/A,"$77,233,467",N/A,N/A,True,Donde viven los monstruos,
