Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Proxy,2013,Not Rated,18 Apr 2014,122 min,"Horror, Thriller",Zack Parker,"Kevin Donner, Zack Parker","Alexa Havins, Joe Swanberg, Kristina Klebe","While walking home from her latest OB appointment, a very pregnant Esther Woodhouse is brutally attacked and disfigured by a hooded assailant. This horrible event seems to be a blessing in disguise when Esther finds consolation in a support group. Her life of sadness and solitude is opened up to friendship, understanding, and even acceptance. However, friendship and understanding can be very dangerous things when accepted by the wrong people.",English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BYzBkNzA2ZDUtMzhmMy00YzY3LWEyYWMtYWNhZjcyZThkODRlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '57/100'}]",57,5.7,"4,432",tt2191888,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Kill Bill,2023,N/A,27 Jan 2023,N/A,"Short, Horror",Brooke Elardo,Brooke Elardo,Brooke Elardo,N/A,N/A,United States,N/A,N/A,[],N/A,N/A,N/A,tt34956235,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Treasure,2024,R,12 Sep 2024,111 min,"Comedy, Drama",Julia von Heinz,"Julia von Heinz, John Quester, Lily Brett","Lena Dunham, Stephen Fry, Zbigniew Zamachowski","An American journalist travels to Poland with her Holocaust survivor father to visit the places of his childhood. However, he sabotages the trip by avoiding reliving his trauma.","English, Polish","Germany, France, Poland, Belgium, Hungary, United States",4 nominations total,https://m.media-amazon.com/images/M/MV5BYjMzODFhZGUtYmIxZi00M2M3LWJiNGMtN2JjYmU5NzdkOTA3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '41%'}, {'Source': 'Metacritic', 'Value': '44/100'}]",44,6.3,"2,133",tt9462944,movie,N/A,"$541,578",N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Perdida,2018,TV-MA,09 Aug 2018,103 min,"Crime, Drama, Mystery",Alejandro Montiel,"Florencia Etcheves, Jorge Maestro, Alejandro Montiel","Luisana Lopilato, Amaia Salamanca, Rafael Spregelburd","It is based on the novel by Florencia Etcheves ""Cornelia"", in which a teacher from a prestigious school in Buenos Aires makes a study trip with five of her students, but only returns with four because one of them disappears mysteriously. It is Cornelia Villalba, who escapes with her companions to go dancing and gets lost in the middle of the Patagonian forests.",Spanish,"Argentina, Spain",N/A,https://m.media-amazon.com/images/M/MV5BODYyZmM0NGEtMmQ5ZC00MjBkLTkyMDktY2Y5MzBjODliMWNmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",N/A,5.7,"5,528",tt7841496,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Los secretos,1999,N/A,N/A,40 min,Short,Fernando Guariniello,Fernando Guariniello,"Álvaro Espinoza, Carolina Fadic, Alejandro Goic",N/A,N/A,Chile,2 wins,N/A,[],N/A,N/A,N/A,tt0242864,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Matrix,1993,N/A,01 Mar 1993,60 min,"Action, Drama, Fantasy",N/A,Grenville Case,"Nick Mancuso, Phillip Jarrett, Carrie-Anne Moss","Steven Matrix is one of the underworld's foremost hitmen until his luck runs out, and someone puts a contract out on him. Shot in the forehead by a .22 pistol, Matrix ""dies"" and finds himself in ""The City In Between"", where he is shown the faces of all the men and women he's murdered and a sea of fire. He's informed that he will be given a second chance. He must earn a reprieve from Hell by helping others. He then wakes up in the hospital, after an apparent ""near death"" experience. In each episode, Matrix meets a new ""guide"" from the world beyond, and is given a new assignment, much in the manner of an unwilling guardian angel. Usually his guides give him little or no useful information about the job to come, and his methods of handling the cases are sometimes as brutal as the rules of his old profession, but he gets the job done.",English,Canada,1 win total,https://m.media-amazon.com/images/M/MV5BM2JiZjU1NmQtNjg1Ni00NjA3LTk2MjMtNjYxMTgxODY0NjRhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,234,tt0106062,series,,,,,True,PRESTAMO EN SALA 2026.pdf,N/A
Brideshead Revisited,2008,PG-13,15 Aug 2008,133 min,"Drama, Romance",Julian Jarrold,"Andrew Davies, Jeremy Brock, Evelyn Waugh","Matthew Goode, Patrick Malahide, Hayley Atwell","World War II. Charles Ryder (Matthew Goode), in his civilian life, rose out of his middle class London background, which includes being an atheist and having a distant relationship with his eccentric father, to become an up and coming artist. He is currently an Army officer, who is stationed at a makeshift camp set up at Brideshead estate before imminently getting shipped into battle. The locale, which is not unfamiliar to him, makes him reminisce about what ended up being his doomed relationship with Brideshead's owners, the Flytes, an ostentatiously wealthy family. Charles first met Sebastian Flyte (Ben Whishaw) when they both were students at Oxford, where Sebastian surprisingly welcomed Charles into his circle of equally wealthy, somewhat stuck-up, and flamboyant friends. Charles ended up getting caught up in Sebastian's family struggles, where Sebastian used excessive alcohol to deal with the pain resulting from his family relationships. Although Charles and Sebastian were more than just friends, Charles ultimately fell in love with Sebastian's sister, Julia Flyte (Hayley Atwell). But the biggest obstacle to Charles being intimately involved with anyone in the Flyte family was the family matriarch, Lady Marchmain (Dame Emma Thompson), a strict and devout Catholic who ruled the family with that adherence to a strict Catholic lifestyle. That was despite her and Lord Marchmain's (Sir Michael Gambon's) own marriage being in name only, as he lived in Venice with his mistress, Cara (Greta Scacchi).","English, Italian, Arabic, Latin, French","United Kingdom, Italy, Morocco, United States",11 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ4MTU5MjAyN15BMl5BanBnXkFtZTcwOTcxMzE3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '62%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",64,6.6,"13,982",tt0412536,movie,N/A,"$6,432,256",N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Mad Men,2007–2015,TV-MA,19 Jul 2007,47 min,Drama,N/A,Matthew Weiner,"Jon Hamm, Elisabeth Moss, Vincent Kartheiser","The professional and personal lives of those who work in advertising on Madison Avenue - self-coined ""mad men"" - in the 1960s are presented. The stories focus on those at one of the avenue's smaller firms, Sterling Cooper, and its various incarnations over the decade. At the heart of these stories is Donald Draper, the creative genius of the company. That professional creative brilliance belies the fact of a troubled childhood, one that he would rather forget and not let anyone know about except for a select few, but one that shaped who he is as an adult and as an ad man in the need not only to sell products but sell himself to the outside world. His outward confidence also masks many insecurities as evidenced through his many vices, such as excessive smoking, drinking and womanizing - the latter despite being a family man - and how he deals with the aftermath of some of the negative aspects of his life.",English,United States,Won 16 Primetime Emmys. 167 wins & 450 nominations total,https://m.media-amazon.com/images/M/MV5BYTNjNjc5OWQtYjMxNC00MzEwLWIxM2UtNjU3NzhkNjZmNGI3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.7/10'}]",N/A,8.7,"287,075",tt0804503,series,,,,,True,PRESTAMO EN SALA 2026.pdf,7
Vicio Capital Temporada 1,2021,N/A,27 Jul 2021,N/A,Action,Moisés Cardez,Moisés Cardez,"Moisés Cardez, Rosario Avani Durán","In a world full of crime, drugs, sex, and women, the biggest commotion in Mexico occurs when the governor's daughter is kidnapped by some street gangsters. A former police officer is reinstated by Mexican law to work on the case of the search for Karla Gonzalez, where he will encounter many obstacles and sacrifices full of lust, action, love, hate, and mystery to achieve his mission.",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BOWVkNzA3MzgtYmFjMC00NmZmLTg1YjctZTM1ZWZjOTBlZTkzXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt16296406,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Fogones Tradicionales Mexico Temporada 2 Cap. 2,2025,N/A,14 May 2025,N/A,Documentary,N/A,N/A,N/A,N/A,Spanish,Mexico,N/A,N/A,[],N/A,N/A,N/A,tt37053255,series,,,,,True,PRESTAMO EN SALA 2026.pdf,N/A
A mi madre le gustan las mujeres,2002,N/A,11 Jan 2002,96 min,"Comedy, Drama","Daniela Fejerman, Inés París","Daniela Fejerman, Inés París","Leonor Watling, Rosa Maria Sardà, María Pujalte","In Madrid, the divorced middle-age pianist Sofía discloses to her daughters Elvira, Gimena and Sol on the day of her birthday that she is in love with the talented Czech pianist Aliska, who is twenty-years younger than she. The bigoted sisters are shocked with the revelation and do not accept the idea that their mother is lesbian. Elvira is an insecure and neurotic young aspirant writer that has a lousy job in a publishing house; Sol is the singer of a rock band; and Gimena is married with a boy and has a troubled marriage with Raúl. When they discover that her mother has lent all her savings to support the education of Aliska, they decide to seduce the girlfriend to make her leave their mother. But when Aliska returns to her country alone and their mother is very depressed, they need to try to revert the situation. Meanwhile the nervous Elvira meets the writer Miguel and has a clumsy relationship with him.","Spanish, Czech",Spain,12 wins & 8 nominations,https://m.media-amazon.com/images/M/MV5BN2U0NWQwNjYtM2FiMS00ZWNmLWEyMTktZDVjZTVlYWFhMjg3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,6.2,"1,674",tt0306432,movie,N/A,"$82,916",N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Home Alone 2: Lost in New York,1992,PG,20 Nov 1992,120 min,"Adventure, Comedy, Crime",Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern","Kevin McCallister (Macaulay Culkin) is back. But this time he's in New York City with enough cash and credit cards to turn the Big Apple into his own playground. But Kevin won't be alone for long. The notorious Wet Bandits, Harry (Joe Pesci) and Marv (Daniel Stern), still smarting from their last encounter with Kevin, are bound for New York City too, plotting a huge holiday heist. Kevin's ready to welcome them with more battery of booby traps the bumbling bandits will never forget.","English, French, Spanish, Latin",United States,3 wins & 3 nominations total,https://m.media-amazon.com/images/M/MV5BOGEyYzRmNzYtYzJjZi00ZjhlLWJiNDktYzZhNTgxMzc1NThlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '35%'}, {'Source': 'Metacritic', 'Value': '46/100'}]",46,6.9,"451,493",tt0104431,movie,N/A,"$173,585,516",N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Moby Dick,1956,Approved,29 Aug 1956,116 min,"Adventure, Drama",John Huston,"Ray Bradbury, John Huston, Norman Corwin","Gregory Peck, Richard Basehart, Leo Genn","This classic story by Herman Melville revolves around Captain Ahab and his obsession with a huge whale, Moby Dick. The whale caused the loss of Ahab's leg years before, leaving Ahab to stomp the boards of his ship on a peg leg. Ahab is so crazed by his desire to kill the whale, that he is prepared to sacrifice everything, including his life, the lives of his crew members, and even his ship to find and destroy his nemesis, Moby Dick.",English,United States,5 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BZTliZjZlNGQtOTZhYS00OGI4LTlkMWUtOTBiYzIxYTBiZmVmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '81%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",78,7.3,"23,396",tt0049513,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Modern Family,2009–2020,TV-PG,23 Sep 2009,22 min,"Comedy, Drama, Romance",N/A,"Steven Levitan, Christopher Lloyd","Ed O'Neill, Sofía Vergara, Julie Bowen","Told from the perspective of an unseen documentary filmmaker, the series offers an honest, often-hilarious perspective of family life. Parents Phil and Claire yearn for an honest, open relationship with their three kids, but a daughter who is trying to grow up too fast, another who is too smart for her own good, and a rambunctious young son make it challenging. Claire's dad Jay and his Latina wife Gloria are raising two sons together, but people sometimes believe Jay to be Gloria's father. Jay's gay son Mitchell and his partner Cameron have adopted a little Asian girl, completing one big -- straight, gay, multicultural, traditional -- happy family.","English, Spanish, Chinese, Italian",United States,Won 22 Primetime Emmys. 124 wins & 397 nominations total,https://m.media-amazon.com/images/M/MV5BYzFlOWFjNzQtODViNC00NzgzLThhZmItZTc1N2VlZDgwODUwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"531,547",tt1442437,series,,,,,True,PRESTAMO EN SALA 2026.pdf,11
La montaña magica (donde el alma renace),2005,N/A,02 Dec 2005,8 min,"Animation, Short",Javier Ideami,Javier Ideami,"Paula Lueje, Javier Ideami","The journey of a soul in 4 stages: Cruelty, desire, loneliness and understanding",N/A,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0758668,movie,N/A,N/A,N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
InfoMania,2007–,N/A,10 Jul 2007,N/A,"Comedy, News",N/A,N/A,"Conor Knighton, Sergio Cilli, Brett Erlich","A weekly half-hour of comedy and common sense that sorts through the 24-hour, multi-screen media chaos in search of the ridiculous, the funny, and the ridiculously funny.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGQyYTZlNTctZmY3ZS00OTAyLTgxM2ItZmNiMDA3MDhjYjM1XkEyXkFqcGdeQXVyMjI3MDczMjI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.1/10'}]",N/A,9.1,160,tt1087821,series,,,,,True,PRESTAMO EN SALA 2026.pdf,3
Temporada de Verão,2022,TV-14,21 Jan 2022,N/A,"Drama, Romance",N/A,"Michel Carvalho, Ana Pacheco, Natalia Piserni","Giovanna Lancellotti, Gabz, Jorge López","A group of young adults working at a paradisiac resort live an unforgettable summer as they discover love, true friendships and devastating secrets.",Portuguese,Brazil,1 nomination,https://m.media-amazon.com/images/M/MV5BODMyNzMzMTYtZWI2ZC00MjBmLWFlN2UtODE4NjJhNTE5MjY4XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,416,tt14655298,series,,,,,True,PRESTAMO EN SALA 2026.pdf,1
Open Season,2006,PG,29 Sep 2006,86 min,"Animation, Adventure, Comedy","Roger Allers, Jill Culton, Richard Williams","Steve Bencich, Ron J. Friedman, Nat Mauldin","Ashton Kutcher, Martin Lawrence, Debra Messing","A happily domesticated grizzly bear named Boog (Martin Lawrence), has his perfect world turned upside down after he meets Elliot (Ashton Kutcher), a scrawny, fast-talking one-horned wild mule deer. They both end up stranded together in the woods during hunting season and it's up to the duo to rally all of the other forest animals and turn the tables on the hunters.",English,United States,1 win & 10 nominations total,https://m.media-amazon.com/images/M/MV5BMTQwOTg2MjU0OV5BMl5BanBnXkFtZTcwMzIzNTQzMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '48%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,6.1,"112,152",tt0400717,movie,N/A,"$85,105,259",N/A,N/A,True,PRESTAMO EN SALA 2026.pdf,
Two and a Half Men,2003–2015,TV-14,22 Sep 2003,22 min,"Comedy, Romance",N/A,"Lee Aronsohn, Chuck Lorre","Jon Cryer, Ashton Kutcher, Angus T. Jones","The Harper brothers Charlie and Alan are almost opposites but form a great team. They have little in common except their dislike for their mundane, maternally cold and domineering mother, Evelyn. Alan, a compulsively neat chiropractor and control-freak, is thrown out by his manipulative wife Judith who nevertheless gets him to pay for everything and do most jobs in the house. Charlie is a freelance jingle composer and irresistible Cassanova who lives in a luxurious beach-house and rarely gets up before noon. Charlie ""temporarily"" allows Alan and his son Jake, a food-obsessed, lazy kid who shuttles between his parents, to move in with them after Alan's separation/divorce. The sitcom revolves around their conflicting lifestyles, raising Jake (who has the efficient, caring dad while having a ball with his fun-loving sugar uncle who teaches him boyish things), and bantering with Evelyn and various other friends and family. Other fairly regular characters include Charlie's cleaning lady Berta and his rich, self-confessed stalker neighbor Rose who often sneaks in to spy on Charlie.",English,United States,Won 9 Primetime Emmys. 30 wins & 73 nominations total,https://m.media-amazon.com/images/M/MV5BMzI2ZDMyNGEtNmIwOS00NTI1LThlZDctYzYzYmE3NDNlNTJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"296,197",tt0369179,series,,,,,True,PRESTAMO EN SALA 2026.pdf,12
Two and a Half Men,2003–2015,TV-14,22 Sep 2003,22 min,"Comedy, Romance",N/A,"Lee Aronsohn, Chuck Lorre","Jon Cryer, Ashton Kutcher, Angus T. Jones","The Harper brothers Charlie and Alan are almost opposites but form a great team. They have little in common except their dislike for their mundane, maternally cold and domineering mother, Evelyn. Alan, a compulsively neat chiropractor and control-freak, is thrown out by his manipulative wife Judith who nevertheless gets him to pay for everything and do most jobs in the house. Charlie is a freelance jingle composer and irresistible Cassanova who lives in a luxurious beach-house and rarely gets up before noon. Charlie ""temporarily"" allows Alan and his son Jake, a food-obsessed, lazy kid who shuttles between his parents, to move in with them after Alan's separation/divorce. The sitcom revolves around their conflicting lifestyles, raising Jake (who has the efficient, caring dad while having a ball with his fun-loving sugar uncle who teaches him boyish things), and bantering with Evelyn and various other friends and family. Other fairly regular characters include Charlie's cleaning lady Berta and his rich, self-confessed stalker neighbor Rose who often sneaks in to spy on Charlie.",English,United States,Won 9 Primetime Emmys. 30 wins & 73 nominations total,https://m.media-amazon.com/images/M/MV5BMzI2ZDMyNGEtNmIwOS00NTI1LThlZDctYzYzYmE3NDNlNTJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"296,197",tt0369179,series,,,,,True,PRESTAMO EN SALA 2026.pdf,12
