Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response,SourcePDF,totalSeasons
Chicken Run,2000,G,23 Jun 2000,84 min,"Animation, Adventure, Comedy","Peter Lord, Nick Park","Peter Lord, Nick Park, Karey Kirkpatrick","Mel Gibson, Julia Sawalha, Phil Daniels","Having been hopelessly repressed and facing eventual certain death at the chicken farm where they are held, Rocky the rooster and Ginger the chicken decide to rebel against the evil Mr. and Ms. Tweedy, the farm's owners. Rocky and Ginger lead their fellow chickens in a great escape from the murderous farmers and their farm of doom.",English,"United Kingdom, France, United States",Nominated for 2 BAFTA 24 wins & 27 nominations total,https://m.media-amazon.com/images/M/MV5BZGViZmJjMTQtNDk3NC00NjQ4LTg0ODItYWI3MjY3YmUwMjczXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '88/100'}]",88,7.1,"223,786",tt0120630,movie,N/A,"$107,071,709",N/A,N/A,True,PELICULAS INFANTILES.pdf,
How to Train Your Dragon 2,2014,PG,13 Jun 2014,102 min,"Animation, Action, Adventure",Dean DeBlois,"Dean DeBlois, Cressida Cowell","Jay Baruchel, Cate Blanchett, Gerard Butler","It's been five years since Hiccup and Toothless successfully united dragons and vikings on the island of Berk. While Astrid, Snotlout and the rest of the gang are challenging each other to dragon races (the island's new favorite contact sport), the now inseparable pair journey through the skies, charting unmapped territories and exploring new worlds. When one of their adventures leads to the discovery of a secret ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace. Now, Hiccup and Toothless must unite to stand up for what they believe while recognizing that only together do they have the power to change the future of both men and dragons.",English,"United States, India",Nominated for 1 Oscar. 15 wins & 61 nominations total,https://m.media-amazon.com/images/M/MV5BMzMwMTAwODczN15BMl5BanBnXkFtZTgwMDk2NDA4MTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",77,7.8,"398,152",tt1646971,movie,N/A,"$177,002,924",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Coraline,2009,PG,06 Feb 2009,100 min,"Animation, Drama, Family",Henry Selick,"Henry Selick, Neil Gaiman","Dakota Fanning, Teri Hatcher, John Hodgman","When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.","English, Russian",United States,Nominated for 1 Oscar. 8 wins & 46 nominations total,https://m.media-amazon.com/images/M/MV5BMzQxNjM5NzkxNV5BMl5BanBnXkFtZTcwMzg5NDMwMg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}, {'Source': 'Metacritic', 'Value': '80/100'}]",80,7.8,"297,596",tt0327597,movie,N/A,"$116,896,576",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Creature Comforts,1989,TV-G,16 Nov 1990,5 min,"Animation, Short, Comedy",Nick Park,Nick Park,Julie Sedgewick,"Off camera, with her microphone in view, an interviewer asks creatures at the zoo to talk about how they like their accommodations, what's good and what's bad, and what they miss about their old land. The animals interviewed include a family of polar bears - the youngest of whom likes it there, a large Brazilian cat (who misses the space and the heat of the Amazon), an ape who's a bit bored, a lemur, a turtle who reads for escape, and a chicken who compares her life favorably to the lives of her sisters in the circus. They talk about what they eat, their cramped and smelly quarters, and the technology of zoo life. They're thoughtful, philosophical, and reasoned.",English,United Kingdom,Won 1 Oscar. 6 wins & 2 nominations total,https://m.media-amazon.com/images/M/MV5BZjFjMDhkOTgtY2VlYi00Mzc4LWIzMDItMGVmMzhiNTc5NzJkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",N/A,7.7,"6,963",tt0099317,movie,N/A,"$112,175",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Dinosaurio,2013,N/A,15 Jul 2013,12 min,"Short, Comedy",Miguel Sánchez Marín,Miguel Sánchez Marín,"Yeray del Cerro, David Ramírez, Cristina Rodríguez","This is the story of Mario, a ten-year-old boy who locks himself in his room all day playing with his dinosaur dolls. But his father Herman does not see a favorable attitude towards his child. One day Herman is going to run with h...",Spanish,Spain,1 win & 1 nomination,https://m.media-amazon.com/images/M/MV5BZDc0NTVkMzMtODBkMC00NjI2LWI4YmQtNzhkNzJkNzFlNTU0XkEyXkFqcGdeQXVyMjk1NzAxNg@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,6,tt3022046,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
"The Dark Crystal: The Magic, Myth, and the Henson Legacy",2018,N/A,06 Mar 2018,N/A,"Documentary, Short",Jeffrey Lerner,Jeffrey Lerner,"Brian Froud, Toby Froud, Jim Henson, Lisa Henson",N/A,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt8598444,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
The Tale of Despereaux,2008,G,19 Dec 2008,93 min,"Animation, Adventure, Comedy","Sam Fell, Robert Stevenhagen","Kate DiCamillo, Gary Ross, Will McRobb","Matthew Broderick, Emma Watson, Dustin Hoffman","The tale of three unlikely heroes - a misfit mouse who prefers reading books to eating them, an unhappy rat who schemes to leave the darkness of the dungeon, and a bumbling servant girl with cauliflower ears - whose fates are intertwined with that of the castle's princess.",English,"United Kingdom, United States",1 win & 8 nominations total,https://m.media-amazon.com/images/M/MV5BMTg0MTc5MTc1MV5BMl5BanBnXkFtZTcwNjgwNDE4MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '56%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,6.1,"40,743",tt0420238,movie,N/A,"$50,877,145",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Frankenweenie,2012,PG,05 Oct 2012,87 min,"Animation, Comedy, Drama",Tim Burton,"Leonard Ripps, Tim Burton, John August","Winona Ryder, Catherine O'Hara, Martin Short","When young Victor's pet dog Sparky (who stars in Victor's home-made monster movies) is hit by a car, Victor decides to bring him back to life the only way he knows how. But when the bolt-necked ""monster"" wreaks havoc and terror in the hearts of Victor's neighbors, he has to convince them (and his parents) that despite his appearance, Sparky's still the good loyal friend he's always been.",English,"United States, United Kingdom",Nominated for 1 Oscar. 12 wins & 50 nominations total,https://m.media-amazon.com/images/M/MV5BYjNjOThlZTctMjNmNy00YjdmLTgwOTYtMzg1N2VmNmMyOTBlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '87%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"125,518",tt1142977,movie,N/A,"$35,291,068",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Frozen,2013,PG,27 Nov 2013,102 min,"Animation, Adventure, Comedy","Chris Buck, Jennifer Lee","Jennifer Lee, Hans Christian Andersen, Chris Buck","Kristen Bell, Idina Menzel, Jonathan Groff","Fearless optimist Anna teams up with rugged mountain man Kristoff and his loyal reindeer Sven and sets off on an epic journey to find her sister Elsa, whose icy powers have trapped the kingdom of Arendelle in eternal winter. Encountering Everest-like conditions, mystical trolls and a hilarious snowman named Olaf, Anna and Kristoff battle the elements in a race to save the kingdom. From the outside Elsa looks poised, regal and reserved, but in reality she lives in fear as she wrestles with a mighty secret: she was born with the power to create ice and snow. It's a beautiful ability, but also extremely dangerous. Haunted by the moment her magic nearly killed her younger sister Anna, Elsa has isolated herself, spending every waking minute trying to suppress her growing powers. Her mounting emotions trigger the magic, accidentally setting off an eternal winter that she can't stop. She fears she's becoming a monster and that no one, not even her sister, can help her.",English,United States,Won 2 Oscars. 83 wins & 60 nominations total,https://m.media-amazon.com/images/M/MV5BMTQ1MjQwMTE5OF5BMl5BanBnXkFtZTgwNjk3MTcyMDE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '89%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,7.4,"708,011",tt2294629,movie,N/A,"$400,953,009",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Frank,2014,R,05 Sep 2014,95 min,"Comedy, Drama, Music",Lenny Abrahamson,"Jon Ronson, Peter Straughan","Michael Fassbender, Domhnall Gleeson, Maggie Gyllenhaal","Jon, a young wanna-be musician, discovers he's bitten off more than he can chew when he joins an eccentric pop band led by the mysterious and enigmatic Frank.","English, French, German","Ireland, United Kingdom",13 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMjM0OTczMTcxOV5BMl5BanBnXkFtZTgwMDU1MDUwMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.9,"83,456",tt1605717,movie,N/A,"$645,186",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Elpidio Valdés,1979,Not Rated,21 May 1981,70 min,Animation,Juan Padrón,"Jorge Oliver, Ernesto Padrón, Juan Padrón",N/A,"Elpidio Valdés (ICAIC, 1979). It tells the birth of Elpidio, the death of his father and the beginnings of the War of Independence; as he knows María Silvia and how he becomes a scourge for the Spanish army, the counter-guerrilla and the American landowners. It develops almost totally in 1895.",Spanish,Cuba,N/A,https://m.media-amazon.com/images/M/MV5BMTQxOTMwMjg2Ml5BMl5BanBnXkFtZTgwOTI0NjIzMTE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}]",N/A,6.9,63,tt0079102,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
El Grinch,2015,N/A,14 Dec 2015,2 min,"Short, Comedy",Axel Casas,Axel Casas,"Erik Romero, Robbi Graña, Michael Oporto",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BYzgzMGViYjUtYTA2OS00NTUxLWE0NTMtMDIyYjI0NTJkMWQ1XkEyXkFqcGdeQXVyMTEwNjY5Mjk2._V1_SX300.jpg,[],N/A,N/A,N/A,tt13717896,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Gasper,2018,N/A,N/A,N/A,"Drama, Thriller",Luca Tornatore,Luca Tornatore,"Alberto Basaluzzo, Sylvia De Fanti, Antonio Giancarlo Zavatteri",N/A,Italian,Italy,N/A,N/A,[],N/A,N/A,N/A,tt7234842,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
El guerrero sin nombre,2005,N/A,07 Apr 2006,81 min,Animation,David Iglesias,"Javier López Blanco, Angel E. Pariente","Rafael Alonso, Carmen Consentido, Roberto Encinas",N/A,Spanish,Spain,N/A,https://m.media-amazon.com/images/M/MV5BYjRlODhkNjItYWI1ZS00OGUzLWI2MjgtNWE4ZDljYWMyMzM3XkEyXkFqcGdeQXVyNTg2MzU5MDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,66,tt0491646,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Hansel y Gretel,1969,N/A,N/A,36 min,Short,Manuel Gutiérrez Aragón,"Jacob Grimm (story), Wilhelm Grimm (story), Manuel Gutiérrez Aragón","Mari Carmen Cruz, Ricardo Palacios, María Rus",N/A,Spanish,Spain,N/A,N/A,[],N/A,N/A,N/A,tt0157731,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
High School Musical: El Desafío,2008,N/A,05 Sep 2008,103 min,"Comedy, Drama, Family",Eduardo Ripari,"Pablo Lago, Susana Cardozo, Flavio González Mello","Cristóbal Orellana, Mariana Magaña, Mar Contreras","No matter who you are, we've all come to know and love one DCOM. You guessed it; High School Musical! But there was only the American version. Now introducing Viva High School Musical! Follow this adventure with Jorge and his frie...",Spanish,Mexico,N/A,https://m.media-amazon.com/images/M/MV5BNzkxNjU2NTMtMzI1NS00MGI0LWEyNWYtZjRmZDZlNGVlY2Q3XkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt35580689,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Hotel Transylvania,2012,PG,28 Sep 2012,91 min,"Animation, Comedy, Family",Genndy Tartakovsky,"Peter Baynham, Robert Smigel, Todd Durham","Adam Sandler, Kevin James, Andy Samberg","In 1895, Dracula builds a resort in Transylvania, hidden from the humans, to raise his beloved daughter Mavis in a safe environment. In the present, the place is the Hotel Transylvania, where monsters bring their families to vacation far from the frightening humans. Dracula invites his friends - Frankenstein and his wife Eunice; Wayne and Wanda, the werewolves; Griffin, the invisible man; Murray, the mummy; Bigfoot, among others - to celebrate the 118th birthday of Mavis. When the party is ready to start, the 21-year-old Jonathan is walking through the forest and stumbles upon the hotel. Dracula sees Jonathan and disguises him as a monster to hide Jonathan from the guests. But Mavis also sees Jonathan and Dracula forces him to pose as a monster. Soon Mavis believes that Jonathan is the ""zing"" of her life despite the advice of her father about humans.",English,"United States, Canada",2 wins & 15 nominations total,https://m.media-amazon.com/images/M/MV5BMTM3NjQyODI3M15BMl5BanBnXkFtZTcwMDM4NjM0OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '45%'}, {'Source': 'Metacritic', 'Value': '47/100'}]",47,7.0,"309,621",tt0837562,movie,N/A,"$148,426,305",N/A,N/A,True,PELICULAS INFANTILES.pdf,
Heidi,2015,N/A,25 Oct 2016,111 min,"Drama, Family",Alain Gsponer,"Petra Biondina Volpe, Johanna Spyri","Anuk Steffen, Anna Schinz, Lilian Naef","Heidi is an eight-year-old Swiss orphan whose aunt hands her off to her mountain-dwelling grandfather, then returns and takes her to live in the wealthy Sesemann household in Frankfurt, Germany as a companion to Klara, a sheltered, disabled girl in a wheelchair. Heidi is unhappy but makes the best of the situation, always longing for her grandfather.","German, Swiss German, Afrikaans","Germany, Switzerland, France",4 wins & 7 nominations total,https://m.media-amazon.com/images/M/MV5BZDBjZjY0ZjMtNGFlNi00YWRmLThkYjUtY2Q3YmFlMmJkYzI5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",N/A,7.4,"8,220",tt3700392,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
High School Musical 2,2007,TV-G,17 Aug 2007,104 min,"Comedy, Drama, Family",Kenny Ortega,Peter Barsocchini,"Zac Efron, Vanessa Hudgens, Ashley French","Troy is offered a job at Ryan & Sharpay's country club and ends up landing jobs for Gabriella, Chad, Taylor, Kelsi, Jason, Martha and Zeke. He is then introduced to Sharpay's parents and realizes that Sharpay can land him many opportunities and even a basketball scholarship. Meanwhile, while Troy starts hanging out with the rich folk, Chad is worried that Troy will forget his friends. Gabriella feels as though she is losing Troy to Sharpay. In the end, Troy will have to learn how to think about his scholarship without losing his friends.",English,United States,Nominated for 2 Primetime Emmys. 5 wins & 10 nominations total,https://m.media-amazon.com/images/M/MV5BNjI5ODI4NTc1MF5BMl5BanBnXkFtZTgwMDg3ODYzMjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",N/A,5.3,"71,365",tt0810900,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Hello Kitty,2028,N/A,N/A,N/A,"Animation, Adventure, Comedy",N/A,"Lindsey Anderson Beer, Yuko Shimizu",N/A,N/A,English,"United States, Japan",N/A,https://m.media-amazon.com/images/M/MV5BMDY3NWRjYzItNmI1MC00OTFlLWIwMWMtMTFhYzg4MTY3ZjVlXkEyXkFqcGc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt38796554,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
Los increíbles,2012,N/A,24 Sep 2012,90 min,"Documentary, Drama, Family",David Valero,David Valero,"Juan Eulalio López, María Moreno, Joana Martín","The Incredibles tells the story of three everyday heroes: Broken Wing, The Iron Lady and Radioactive Woman. Three people who endure the adversities of life and who struggle against the most terrible villains: death, lovelessness and loneliness.",Spanish,Spain,5 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BZjZkMjBjYWEtNGRiZi00MzYyLWEzOWItOTkxMGUyOGQ4NjBiXkEyXkFqcGdeQXVyMjI1NjM2MDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",N/A,5.5,51,tt2352524,movie,N/A,N/A,N/A,N/A,True,PELICULAS INFANTILES.pdf,
